"metabolite","gene_symbol","module","gene","gene_label","cluster"
"AMPdGMP","Nt5e","M-45","Nt5 family","Nt5 family","1"
"AMPdGMP","Nt5e","M-138","Nt5 family","Nt5 family","1"
"AMPdGMP","Nt5e","M-139","Nt5 family","Nt5 family","1"
"AMPdGMP","Nt5e","M-140","Nt5 family","Nt5 family","1"
"AMPdGMP","Nt5e","M-143","Nt5 family","Nt5 family","1"
"AMPdGMP","Nt5e","M-145","Nt5 family","Nt5 family","1"
"AMPdGMP","Nt5e","M-148","Nt5 family","Nt5 family","1"
"AMPdGMP","Nt5e","M-149","Nt5 family","Nt5 family","3"
"AMPdGMP","Nt5e","M-152","Nt5 family","Nt5 family","2"
"AMPdGMP","Nt5e","M-156","Nt5 family","Nt5 family","1"
"AMPdGMP","Nt5e","M-158","Nt5 family","Nt5 family","3"
"AMPdGMP","Nt5e","M-159","Nt5 family","Nt5 family","1"
"AMPdGMP","Nt5e","M-162","Nt5 family","Nt5 family","1"
"AMPdGMP","Nt5e","M-164","Nt5 family","Nt5 family","3"
"AMPdGMP","Nt5c1b","M-45","Nt5 family","Nt5 family","1"
"AMPdGMP","Nt5c1b","M-138","Nt5 family","Nt5 family","1"
"AMPdGMP","Nt5c1b","M-139","Nt5 family","Nt5 family","1"
"AMPdGMP","Nt5c1b","M-140","Nt5 family","Nt5 family","1"
"AMPdGMP","Nt5c1b","M-143","Nt5 family","Nt5 family","1"
"AMPdGMP","Nt5c1b","M-145","Nt5 family","Nt5 family","1"
"AMPdGMP","Nt5c1b","M-148","Nt5 family","Nt5 family","1"
"AMPdGMP","Nt5c1b","M-149","Nt5 family","Nt5 family","3"
"AMPdGMP","Nt5c1b","M-152","Nt5 family","Nt5 family","2"
"AMPdGMP","Nt5c1b","M-156","Nt5 family","Nt5 family","1"
"AMPdGMP","Nt5c1b","M-158","Nt5 family","Nt5 family","3"
"AMPdGMP","Nt5c1b","M-159","Nt5 family","Nt5 family","1"
"AMPdGMP","Nt5c1b","M-162","Nt5 family","Nt5 family","1"
"AMPdGMP","Nt5c1b","M-164","Nt5 family","Nt5 family","3"
"AMPdGMP","Nt5c1a","M-45","Nt5 family","Nt5 family","1"
"AMPdGMP","Nt5c1a","M-138","Nt5 family","Nt5 family","1"
"AMPdGMP","Nt5c1a","M-139","Nt5 family","Nt5 family","1"
"AMPdGMP","Nt5c1a","M-140","Nt5 family","Nt5 family","1"
"AMPdGMP","Nt5c1a","M-143","Nt5 family","Nt5 family","1"
"AMPdGMP","Nt5c1a","M-145","Nt5 family","Nt5 family","1"
"AMPdGMP","Nt5c1a","M-148","Nt5 family","Nt5 family","1"
"AMPdGMP","Nt5c1a","M-149","Nt5 family","Nt5 family","3"
"AMPdGMP","Nt5c1a","M-152","Nt5 family","Nt5 family","2"
"AMPdGMP","Nt5c1a","M-156","Nt5 family","Nt5 family","1"
"AMPdGMP","Nt5c1a","M-158","Nt5 family","Nt5 family","3"
"AMPdGMP","Nt5c1a","M-159","Nt5 family","Nt5 family","1"
"AMPdGMP","Nt5c1a","M-162","Nt5 family","Nt5 family","1"
"AMPdGMP","Nt5c1a","M-164","Nt5 family","Nt5 family","3"
"AMPdGMP","Nt5c","M-45","Nt5 family","Nt5 family","1"
"AMPdGMP","Nt5c","M-138","Nt5 family","Nt5 family","1"
"AMPdGMP","Nt5c","M-139","Nt5 family","Nt5 family","1"
"AMPdGMP","Nt5c","M-140","Nt5 family","Nt5 family","1"
"AMPdGMP","Nt5c","M-143","Nt5 family","Nt5 family","1"
"AMPdGMP","Nt5c","M-145","Nt5 family","Nt5 family","1"
"AMPdGMP","Nt5c","M-148","Nt5 family","Nt5 family","1"
"AMPdGMP","Nt5c","M-149","Nt5 family","Nt5 family","3"
"AMPdGMP","Nt5c","M-152","Nt5 family","Nt5 family","2"
"AMPdGMP","Nt5c","M-156","Nt5 family","Nt5 family","1"
"AMPdGMP","Nt5c","M-158","Nt5 family","Nt5 family","3"
"AMPdGMP","Nt5c","M-159","Nt5 family","Nt5 family","1"
"AMPdGMP","Nt5c","M-162","Nt5 family","Nt5 family","1"
"AMPdGMP","Nt5c","M-164","Nt5 family","Nt5 family","3"
"AMPdGMP","Nt5m","M-45","Nt5 family","Nt5 family","1"
"AMPdGMP","Nt5m","M-138","Nt5 family","Nt5 family","1"
"AMPdGMP","Nt5m","M-139","Nt5 family","Nt5 family","1"
"AMPdGMP","Nt5m","M-140","Nt5 family","Nt5 family","1"
"AMPdGMP","Nt5m","M-143","Nt5 family","Nt5 family","1"
"AMPdGMP","Nt5m","M-145","Nt5 family","Nt5 family","1"
"AMPdGMP","Nt5m","M-148","Nt5 family","Nt5 family","1"
"AMPdGMP","Nt5m","M-149","Nt5 family","Nt5 family","3"
"AMPdGMP","Nt5m","M-152","Nt5 family","Nt5 family","2"
"AMPdGMP","Nt5m","M-156","Nt5 family","Nt5 family","1"
"AMPdGMP","Nt5m","M-158","Nt5 family","Nt5 family","3"
"AMPdGMP","Nt5m","M-159","Nt5 family","Nt5 family","1"
"AMPdGMP","Nt5m","M-162","Nt5 family","Nt5 family","1"
"AMPdGMP","Nt5m","M-164","Nt5 family","Nt5 family","3"
"AMPdGMP","Nt5c3","M-45","Nt5 family","Nt5 family","1"
"AMPdGMP","Nt5c3","M-138","Nt5 family","Nt5 family","1"
"AMPdGMP","Nt5c3","M-139","Nt5 family","Nt5 family","1"
"AMPdGMP","Nt5c3","M-140","Nt5 family","Nt5 family","1"
"AMPdGMP","Nt5c3","M-143","Nt5 family","Nt5 family","1"
"AMPdGMP","Nt5c3","M-145","Nt5 family","Nt5 family","1"
"AMPdGMP","Nt5c3","M-148","Nt5 family","Nt5 family","1"
"AMPdGMP","Nt5c3","M-149","Nt5 family","Nt5 family","3"
"AMPdGMP","Nt5c3","M-152","Nt5 family","Nt5 family","2"
"AMPdGMP","Nt5c3","M-156","Nt5 family","Nt5 family","1"
"AMPdGMP","Nt5c3","M-158","Nt5 family","Nt5 family","3"
"AMPdGMP","Nt5c3","M-159","Nt5 family","Nt5 family","1"
"AMPdGMP","Nt5c3","M-162","Nt5 family","Nt5 family","1"
"AMPdGMP","Nt5c3","M-164","Nt5 family","Nt5 family","3"
"AMPdGMP","Nt5c2","M-45","Nt5 family","Nt5 family","1"
"AMPdGMP","Nt5c2","M-138","Nt5 family","Nt5 family","1"
"AMPdGMP","Nt5c2","M-139","Nt5 family","Nt5 family","1"
"AMPdGMP","Nt5c2","M-140","Nt5 family","Nt5 family","1"
"AMPdGMP","Nt5c2","M-143","Nt5 family","Nt5 family","1"
"AMPdGMP","Nt5c2","M-145","Nt5 family","Nt5 family","1"
"AMPdGMP","Nt5c2","M-148","Nt5 family","Nt5 family","1"
"AMPdGMP","Nt5c2","M-149","Nt5 family","Nt5 family","3"
"AMPdGMP","Nt5c2","M-152","Nt5 family","Nt5 family","2"
"AMPdGMP","Nt5c2","M-156","Nt5 family","Nt5 family","1"
"AMPdGMP","Nt5c2","M-158","Nt5 family","Nt5 family","3"
"AMPdGMP","Nt5c2","M-159","Nt5 family","Nt5 family","1"
"AMPdGMP","Nt5c2","M-162","Nt5 family","Nt5 family","1"
"AMPdGMP","Nt5c2","M-164","Nt5 family","Nt5 family","3"
"AMPdGMP","Dck","M-139","Other","Other","1"
"AMPdGMP","Dck","M-158","Other","Other","3"
"AMPdGMP","Dck","M-159","Other","Other","1"
"AMPdGMP","Entpd1","M-133","Entpd family","Entpd family","1"
"AMPdGMP","Entpd1","M-135","Entpd family","Entpd family","1"
"AMPdGMP","Entpd1","M-138","Entpd family","Entpd family","1"
"AMPdGMP","Entpd1","M-153","Entpd family","Entpd family","3"
"AMPdGMP","Entpd1","M-155","Entpd family","Entpd family","1"
"AMPdGMP","Entpd1","M-156","Entpd family","Entpd family","1"
"AMPdGMP","Entpd1","M-165","Entpd family","Entpd family","2"
"AMPdGMP","Cant1","M-133","Other","Other","1"
"AMPdGMP","Cant1","M-135","Other","Other","1"
"AMPdGMP","Cant1","M-153","Other","Other","3"
"AMPdGMP","Entpd3","M-133","Entpd family","Entpd family","1"
"AMPdGMP","Entpd3","M-135","Entpd family","Entpd family","1"
"AMPdGMP","Entpd3","M-138","Entpd family","Entpd family","1"
"AMPdGMP","Entpd3","M-153","Entpd family","Entpd family","3"
"AMPdGMP","Entpd3","M-155","Entpd family","Entpd family","1"
"AMPdGMP","Entpd3","M-156","Entpd family","Entpd family","1"
"AMPdGMP","Entpd3","M-165","Entpd family","Entpd family","2"
"AMPdGMP","Aldh7a1","M-21","Other","Other","1"
"AMPdGMP","Aldh7a1","M-42","Other","Other","2"
"AMPdGMP","Aldh7a1","M-54","Other","Other","2"
"AMPdGMP","Aldh7a1","M-60","Other","Other","1"
"AMPdGMP","Aldh7a1","M-61","Other","Other","2"
"AMPdGMP","Aldh7a1","M-164","Other","Other","3"
"AMPdGMP","Aldh7a1","M-166","Other","Other","1"
"AMPdGMP","Adpgk","M-1","Other","Other","1"
"AMPdGMP","Pygb","M-111","Other","Other","2"
"AMPdGMP","Aprt","M-148","Other","Other","1"
"AMPdGMP","Aprt","M-149","Other","Other","3"
"AMPdGMP","Hprt1","M-143","Other","Other","1"
"AMPdGMP","Hprt1","M-145","Other","Other","1"
"AMPdGMP","Hprt1","M-148","Other","Other","1"
"AMPdGMP","Hprt1","M-149","Other","Other","3"
"AMPdGMP","Ak1","M-138","Ak family","Ak family","1"
"AMPdGMP","Ak1","M-140","Ak family","Ak family","1"
"AMPdGMP","Prps1l1","M-33","Prps family","Prps family","3"
"AMPdGMP","Acsl4","M-34","Acs family","Acs family","1"
"AMPdGMP","Acsl4","M-35","Acs family","Acs family","3"
"AMPdGMP","Ak3","M-138","Ak family","Ak family","1"
"AMPdGMP","Acsl1","M-34","Acs family","Acs family","1"
"AMPdGMP","Acsl1","M-35","Acs family","Acs family","3"
"AMPdGMP","Asns","M-38","Other","Other","1"
"AMPdGMP","Adsl","M-39","Other","Other","2"
"AMPdGMP","Adsl","M-133","Other","Other","1"
"AMPdGMP","Adsl","M-134","Other","Other","1"
"AMPdGMP","Adsl","M-136","Other","Other","2"
"AMPdGMP","Ak4","M-138","Ak family","Ak family","1"
"AMPdGMP","Ak4","M-140","Ak family","Ak family","1"
"AMPdGMP","Gmps","M-148","Other","Other","1"
"AMPdGMP","Gmps","M-170","Other","Other","2"
"AMPdGMP","Ampd3","M-136","Ampd family","Ampd family","2"
"AMPdGMP","Ampd2","M-136","Ampd family","Ampd family","2"
"AMPdGMP","Ak7","M-138","Ak family","Ak family","1"
"AMPdGMP","Ak7","M-140","Ak family","Ak family","1"
"AMPdGMP","Nudt2","M-145","Nudt family","Nudt family","1"
"AMPdGMP","Nudt2","M-148","Nudt family","Nudt family","1"
"AMPdGMP","Acsl6","M-34","Acs family","Acs family","1"
"AMPdGMP","Acsl6","M-35","Acs family","Acs family","3"
"AMPdGMP","Nudt5","M-133","Nudt family","Nudt family","1"
"AMPdGMP","Nudt5","M-135","Nudt family","Nudt family","1"
"AMPdGMP","Nudt5","M-145","Nudt family","Nudt family","1"
"AMPdGMP","Nudt5","M-148","Nudt family","Nudt family","1"
"AMPdGMP","Prps1","M-33","Prps family","Prps family","3"
"AMPdGMP","Prps2","M-33","Prps family","Prps family","3"
"AMPdGMP","Adk","M-139","Other","Other","1"
"AMPdGMP","Acsl5","M-34","Acs family","Acs family","1"
"AMPdGMP","Acsl5","M-35","Acs family","Acs family","3"
"AMPdGMP","Acsl3","M-34","Acs family","Acs family","1"
"AMPdGMP","Acsl3","M-35","Acs family","Acs family","3"
"AMPdGMP","Ak5","M-138","Ak family","Ak family","1"
"AMPdGMP","Ak5","M-140","Ak family","Ak family","1"
"AMPdGMP","Ass1","M-39","Other","Other","2"
"AMPdGMP","Ass1","M-66","Other","Other","3"
"AMPdGMP","Ampd1","M-136","Ampd family","Ampd family","2"
"AMPdGMP","Slc27a2","M-34","Slc27a family","Slc27a family","1"
"AMPdGMP","Slc27a2","M-35","Slc27a family","Slc27a family","3"
"AMPdGMP","Slc27a2","M-105","Slc27a family","Slc27a family","2"
"AMPdGMP","Slc27a5","M-105","Slc27a family","Slc27a family","2"
"AMPdGMP","Slc27a5","M-168","Slc27a family","Slc27a family","1"
"AMPdGMP","Ak2","M-138","Ak family","Ak family","1"
"AMPdGMP","Ak2","M-140","Ak family","Ak family","1"
"AMPdGMP","Aacs","M-53","Other","Other","2"
"AMPdGMP","Entpd8","M-133","Entpd family","Entpd family","1"
"AMPdGMP","Entpd8","M-135","Entpd family","Entpd family","1"
"AMPdGMP","Entpd8","M-138","Entpd family","Entpd family","1"
"AMPdGMP","Entpd8","M-153","Entpd family","Entpd family","3"
"AMPdGMP","Entpd8","M-155","Entpd family","Entpd family","1"
"AMPdGMP","Entpd8","M-156","Entpd family","Entpd family","1"
"AMPdGMP","Entpd8","M-165","Entpd family","Entpd family","2"
"AMPdGMP","Carns1","M-43","Other","Other","2"
"AMPdGMP","Acsbg2","M-34","Acs family","Acs family","1"
"AMPdGMP","Acsbg2","M-35","Acs family","Acs family","3"
"AMPdGMP","Acsbg1","M-34","Acs family","Acs family","1"
"AMPdGMP","Acsbg1","M-35","Acs family","Acs family","3"
"AMPdGMP","Rnf2","M-34","Other","Other","1"
"AMPdGMP","Rnf2","M-167","Other","Other","1"
"AMPdGMP","Rnf2","M-169","Other","Other","2"
"AMPdGMP","Ak8","M-138","Ak family","Ak family","1"
"AMPdGMP","Ak8","M-140","Ak family","Ak family","1"
"AdG","Nt5e","M-45","Nt5 family","Nt5 family","1"
"AdG","Nt5e","M-138","Nt5 family","Nt5 family","1"
"AdG","Nt5e","M-139","Nt5 family","Nt5 family","1"
"AdG","Nt5e","M-140","Nt5 family","Nt5 family","1"
"AdG","Nt5e","M-143","Nt5 family","Nt5 family","1"
"AdG","Nt5e","M-145","Nt5 family","Nt5 family","1"
"AdG","Nt5e","M-148","Nt5 family","Nt5 family","1"
"AdG","Nt5e","M-149","Nt5 family","Nt5 family","3"
"AdG","Nt5e","M-152","Nt5 family","Nt5 family","2"
"AdG","Nt5e","M-156","Nt5 family","Nt5 family","1"
"AdG","Nt5e","M-158","Nt5 family","Nt5 family","3"
"AdG","Nt5e","M-159","Nt5 family","Nt5 family","1"
"AdG","Nt5e","M-162","Nt5 family","Nt5 family","1"
"AdG","Nt5e","M-164","Nt5 family","Nt5 family","3"
"AdG","Nt5c1b","M-45","Nt5 family","Nt5 family","1"
"AdG","Nt5c1b","M-138","Nt5 family","Nt5 family","1"
"AdG","Nt5c1b","M-139","Nt5 family","Nt5 family","1"
"AdG","Nt5c1b","M-140","Nt5 family","Nt5 family","1"
"AdG","Nt5c1b","M-143","Nt5 family","Nt5 family","1"
"AdG","Nt5c1b","M-145","Nt5 family","Nt5 family","1"
"AdG","Nt5c1b","M-148","Nt5 family","Nt5 family","1"
"AdG","Nt5c1b","M-149","Nt5 family","Nt5 family","3"
"AdG","Nt5c1b","M-152","Nt5 family","Nt5 family","2"
"AdG","Nt5c1b","M-156","Nt5 family","Nt5 family","1"
"AdG","Nt5c1b","M-158","Nt5 family","Nt5 family","3"
"AdG","Nt5c1b","M-159","Nt5 family","Nt5 family","1"
"AdG","Nt5c1b","M-162","Nt5 family","Nt5 family","1"
"AdG","Nt5c1b","M-164","Nt5 family","Nt5 family","3"
"AdG","Nt5c1a","M-45","Nt5 family","Nt5 family","1"
"AdG","Nt5c1a","M-138","Nt5 family","Nt5 family","1"
"AdG","Nt5c1a","M-139","Nt5 family","Nt5 family","1"
"AdG","Nt5c1a","M-140","Nt5 family","Nt5 family","1"
"AdG","Nt5c1a","M-143","Nt5 family","Nt5 family","1"
"AdG","Nt5c1a","M-145","Nt5 family","Nt5 family","1"
"AdG","Nt5c1a","M-148","Nt5 family","Nt5 family","1"
"AdG","Nt5c1a","M-149","Nt5 family","Nt5 family","3"
"AdG","Nt5c1a","M-152","Nt5 family","Nt5 family","2"
"AdG","Nt5c1a","M-156","Nt5 family","Nt5 family","1"
"AdG","Nt5c1a","M-158","Nt5 family","Nt5 family","3"
"AdG","Nt5c1a","M-159","Nt5 family","Nt5 family","1"
"AdG","Nt5c1a","M-162","Nt5 family","Nt5 family","1"
"AdG","Nt5c1a","M-164","Nt5 family","Nt5 family","3"
"AdG","Nt5c","M-45","Nt5 family","Nt5 family","1"
"AdG","Nt5c","M-138","Nt5 family","Nt5 family","1"
"AdG","Nt5c","M-139","Nt5 family","Nt5 family","1"
"AdG","Nt5c","M-140","Nt5 family","Nt5 family","1"
"AdG","Nt5c","M-143","Nt5 family","Nt5 family","1"
"AdG","Nt5c","M-145","Nt5 family","Nt5 family","1"
"AdG","Nt5c","M-148","Nt5 family","Nt5 family","1"
"AdG","Nt5c","M-149","Nt5 family","Nt5 family","3"
"AdG","Nt5c","M-152","Nt5 family","Nt5 family","2"
"AdG","Nt5c","M-156","Nt5 family","Nt5 family","1"
"AdG","Nt5c","M-158","Nt5 family","Nt5 family","3"
"AdG","Nt5c","M-159","Nt5 family","Nt5 family","1"
"AdG","Nt5c","M-162","Nt5 family","Nt5 family","1"
"AdG","Nt5c","M-164","Nt5 family","Nt5 family","3"
"AdG","Dck","M-139","Other","Other","1"
"AdG","Dck","M-158","Other","Other","3"
"AdG","Dck","M-159","Other","Other","1"
"AdG","Nt5m","M-45","Nt5 family","Nt5 family","1"
"AdG","Nt5m","M-138","Nt5 family","Nt5 family","1"
"AdG","Nt5m","M-139","Nt5 family","Nt5 family","1"
"AdG","Nt5m","M-140","Nt5 family","Nt5 family","1"
"AdG","Nt5m","M-143","Nt5 family","Nt5 family","1"
"AdG","Nt5m","M-145","Nt5 family","Nt5 family","1"
"AdG","Nt5m","M-148","Nt5 family","Nt5 family","1"
"AdG","Nt5m","M-149","Nt5 family","Nt5 family","3"
"AdG","Nt5m","M-152","Nt5 family","Nt5 family","2"
"AdG","Nt5m","M-156","Nt5 family","Nt5 family","1"
"AdG","Nt5m","M-158","Nt5 family","Nt5 family","3"
"AdG","Nt5m","M-159","Nt5 family","Nt5 family","1"
"AdG","Nt5m","M-162","Nt5 family","Nt5 family","1"
"AdG","Nt5m","M-164","Nt5 family","Nt5 family","3"
"AdG","Adk","M-139","Other","Other","1"
"AdG","Ahcyl2","M-30","Ahcy family","Ahcy family","1"
"AdG","Ahcy","M-30","Ahcy family","Ahcy family","1"
"AdG","Ahcyl1","M-30","Ahcy family","Ahcy family","1"
"AdG","Ada","M-142","Other","Other","2"
"AdG","Ada","M-143","Other","Other","1"
"AdG","Nt5c3","M-45","Nt5 family","Nt5 family","1"
"AdG","Nt5c3","M-138","Nt5 family","Nt5 family","1"
"AdG","Nt5c3","M-139","Nt5 family","Nt5 family","1"
"AdG","Nt5c3","M-140","Nt5 family","Nt5 family","1"
"AdG","Nt5c3","M-143","Nt5 family","Nt5 family","1"
"AdG","Nt5c3","M-145","Nt5 family","Nt5 family","1"
"AdG","Nt5c3","M-148","Nt5 family","Nt5 family","1"
"AdG","Nt5c3","M-149","Nt5 family","Nt5 family","3"
"AdG","Nt5c3","M-152","Nt5 family","Nt5 family","2"
"AdG","Nt5c3","M-156","Nt5 family","Nt5 family","1"
"AdG","Nt5c3","M-158","Nt5 family","Nt5 family","3"
"AdG","Nt5c3","M-159","Nt5 family","Nt5 family","1"
"AdG","Nt5c3","M-162","Nt5 family","Nt5 family","1"
"AdG","Nt5c3","M-164","Nt5 family","Nt5 family","3"
"AdG","Nt5c2","M-45","Nt5 family","Nt5 family","1"
"AdG","Nt5c2","M-138","Nt5 family","Nt5 family","1"
"AdG","Nt5c2","M-139","Nt5 family","Nt5 family","1"
"AdG","Nt5c2","M-140","Nt5 family","Nt5 family","1"
"AdG","Nt5c2","M-143","Nt5 family","Nt5 family","1"
"AdG","Nt5c2","M-145","Nt5 family","Nt5 family","1"
"AdG","Nt5c2","M-148","Nt5 family","Nt5 family","1"
"AdG","Nt5c2","M-149","Nt5 family","Nt5 family","3"
"AdG","Nt5c2","M-152","Nt5 family","Nt5 family","2"
"AdG","Nt5c2","M-156","Nt5 family","Nt5 family","1"
"AdG","Nt5c2","M-158","Nt5 family","Nt5 family","3"
"AdG","Nt5c2","M-159","Nt5 family","Nt5 family","1"
"AdG","Nt5c2","M-162","Nt5 family","Nt5 family","1"
"AdG","Nt5c2","M-164","Nt5 family","Nt5 family","3"
"AdG","Pnp","M-45","Pnp","Pnp","1"
"AdG","Pnp","M-139","Pnp","Pnp","1"
"AdG","Pnp","M-141","Pnp","Pnp","2"
"AdG","Pnp","M-142","Pnp","Pnp","2"
"AdG","Pnp","M-143","Pnp","Pnp","1"
"AdG","Pnp","M-145","Pnp","Pnp","1"
"AdG","Pnp","M-148","Pnp","Pnp","1"
"AdG","Pnp","M-149","Pnp","Pnp","3"
"C","Nt5e","M-45","Nt5 family","Nt5 family","1"
"C","Nt5e","M-138","Nt5 family","Nt5 family","1"
"C","Nt5e","M-139","Nt5 family","Nt5 family","1"
"C","Nt5e","M-140","Nt5 family","Nt5 family","1"
"C","Nt5e","M-143","Nt5 family","Nt5 family","1"
"C","Nt5e","M-145","Nt5 family","Nt5 family","1"
"C","Nt5e","M-148","Nt5 family","Nt5 family","1"
"C","Nt5e","M-149","Nt5 family","Nt5 family","3"
"C","Nt5e","M-152","Nt5 family","Nt5 family","2"
"C","Nt5e","M-156","Nt5 family","Nt5 family","1"
"C","Nt5e","M-158","Nt5 family","Nt5 family","3"
"C","Nt5e","M-159","Nt5 family","Nt5 family","1"
"C","Nt5e","M-162","Nt5 family","Nt5 family","1"
"C","Nt5e","M-164","Nt5 family","Nt5 family","3"
"C","Nt5c1b","M-45","Nt5 family","Nt5 family","1"
"C","Nt5c1b","M-138","Nt5 family","Nt5 family","1"
"C","Nt5c1b","M-139","Nt5 family","Nt5 family","1"
"C","Nt5c1b","M-140","Nt5 family","Nt5 family","1"
"C","Nt5c1b","M-143","Nt5 family","Nt5 family","1"
"C","Nt5c1b","M-145","Nt5 family","Nt5 family","1"
"C","Nt5c1b","M-148","Nt5 family","Nt5 family","1"
"C","Nt5c1b","M-149","Nt5 family","Nt5 family","3"
"C","Nt5c1b","M-152","Nt5 family","Nt5 family","2"
"C","Nt5c1b","M-156","Nt5 family","Nt5 family","1"
"C","Nt5c1b","M-158","Nt5 family","Nt5 family","3"
"C","Nt5c1b","M-159","Nt5 family","Nt5 family","1"
"C","Nt5c1b","M-162","Nt5 family","Nt5 family","1"
"C","Nt5c1b","M-164","Nt5 family","Nt5 family","3"
"C","Nt5c1a","M-45","Nt5 family","Nt5 family","1"
"C","Nt5c1a","M-138","Nt5 family","Nt5 family","1"
"C","Nt5c1a","M-139","Nt5 family","Nt5 family","1"
"C","Nt5c1a","M-140","Nt5 family","Nt5 family","1"
"C","Nt5c1a","M-143","Nt5 family","Nt5 family","1"
"C","Nt5c1a","M-145","Nt5 family","Nt5 family","1"
"C","Nt5c1a","M-148","Nt5 family","Nt5 family","1"
